City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cidreira,-30.1811,-50.2056,20.16,81,96,3.2,BR,1690388381
1,waitangi,-43.9535,-176.5597,9.43,68,85,11.33,NZ,1690388877
2,patacamaya,-17.2333,-67.9167,12.68,8,0,4.08,BO,1690388723
3,cabo san lucas,22.8909,-109.9124,31.95,66,75,2.57,MX,1690388877
4,muang phonsavan,19.45,103.2167,20.19,93,43,0.84,LA,1690388877
5,tiksi,71.6872,128.8694,3.04,92,47,1.49,RU,1690388349
6,moapa valley,36.5805,-114.4703,36.97,19,7,0.95,US,1690388876
7,ushuaia,-54.8,-68.3,0.81,64,20,2.06,AR,1690388710
8,margaret river,-33.95,115.0667,12.42,82,100,10.04,AU,1690388395
9,yellowknife,62.456,-114.3525,22.29,43,75,7.72,CA,1690388335
10,kuching,1.55,110.3333,27.21,93,20,0.89,MY,1690388878
11,new norfolk,-42.7826,147.0587,10.95,93,100,1.41,AU,1690388378
12,isafjordur,66.0755,-23.124,10.02,66,75,5.14,IS,1690388289
13,stanley,54.868,-1.6985,20.16,56,20,3.6,GB,1690388359
14,jamestown,42.097,-79.2353,28.34,55,89,2.68,US,1690388304
15,puerto natales,-51.7236,-72.4875,1.64,84,47,1.68,CL,1690388333
16,bilibino,68.0546,166.4372,6.48,85,71,1.38,RU,1690388349
17,xinyuan,37.3,99.0,8.29,91,100,1.32,CN,1690388879
18,lebu,-37.6167,-73.65,9.23,81,100,2.76,CL,1690388348
19,happy valley-goose bay,53.3168,-60.3315,25.17,50,40,4.63,CA,1690388879
20,sinsang-ni,39.6503,127.4058,23.28,87,95,2.96,KP,1690388879
21,talnakh,69.4865,88.3972,21.23,58,62,1.31,RU,1690388412
22,atafu village,-8.5421,-172.5159,27.98,77,90,8.86,TK,1690388367
23,nuuk,64.1835,-51.7216,6.34,93,75,5.14,GL,1690388666
24,tekkali,18.6167,84.2333,27.96,88,95,3.07,IN,1690388879
